year,park,visits
2012,Pinnacles National Park,224476
2012,Redwood National Park,352517
2012,Rock Creek Park,2003385
2012,Rocky Mountain National Park,3229617
2012,Saguaro National Park,634286
2012,Sequoia National Park,1106584
2012,Shenandoah National Park,1210200
2012,Theodore Roosevelt National Park,640555
2012,Virgin Islands National Park,483341
2012,Voyageurs National Park,214841
2012,White Sands National Park,447385
2012,Wind Cave National Park,529083
2012,Wrangell-St. Elias National Park & Preserve,87158
2012,Yellowstone National Park,3447729
2012,Yosemite National Park,3853404
2012,Zion National Park,2973607
2013,Acadia National Park,2254922
2013,Arches National Park,1082866
2013,Badlands National Park,892372
2013,Big Bend National Park,316953
2013,Biscayne National Park,486848
2013,Black Canyon of the Gunnison National Park,175852
2013,Bryce Canyon National Park,1311875
2013,Canyonlands National Park,462242
2013,Capitol Reef National Park,663670
2013,Carlsbad Caverns National Park,388566
2013,Channel Islands National Park,212029
2013,Congaree National Park,120340
2013,Crater Lake National Park,523027
2013,Cuyahoga Valley National Park,2103010
2013,Death Valley National Park,951972
2013,Denali National Park & Preserve,530922
2013,Dry Tortugas National Park,58401
2013,Everglades National Park,1047116
2013,Gates of the Arctic National Park & Preserve,11012
2013,Gateway Arch National Park,2377258
2013,Glacier Bay National Park & Preserve,500590
2013,Glacier National Park,2190374
2013,Grand Canyon National Park,4564840
2013,Grand Teton National Park,2688794
2013,Great Basin National Park,92893
2013,Great Sand Dunes National Park & Preserve,242841
2013,Great Smoky Mountains National Park,9354695
2013,Guadalupe Mountains National Park,145670
2013,Haleakala National Park,785300
2013,Hawaii Volcanoes National Park,1583209
2013,Hot Springs National Park,1325719
2013,Indiana Dunes National Park,1681695
2013,Isle Royale National Park,16274
2013,Joshua Tree National Park,1383340
2013,Katmai National Park & Preserve,28966
2013,Kenai Fjords National Park,283502
2013,Kings Canyon National Park,567544
2013,Kobuk Valley National Park,16875
2013,Lake Clark National Park & Preserve,13000
2013,Lassen Volcanic National Park,427409
2013,Mammoth Cave National Park,494541
2013,Mesa Verde National Park,460237
2013,Mount Rainier National Park,1148552
2013,New River Gorge National Park & Preserve,1071823
2013,North Cascades National Park,21623
2013,Olympic National Park,3085340
2013,Petrified Forest National Park,644648
2013,Pinnacles National Park,237677
2013,Redwood National Park,393364
2013,Rock Creek Park,1968995
2013,Rocky Mountain National Park,2991141
2013,Saguaro National Park,678261
2013,Sequoia National Park,909274
2013,Shenandoah National Park,1136505
2013,Theodore Roosevelt National Park,545090
2013,Virgin Islands National Park,438601
2013,Voyageurs National Park,233390
2013,White Sands National Park,490544
2013,Wind Cave National Park,516142
2013,Wrangell-St. Elias National Park & Preserve,69984
2013,Yellowstone National Park,3188030
2013,Yosemite National Park,3691191
2013,Zion National Park,2807387
2014,Acadia National Park,2563129
2014,Arches National Park,1284767
2014,Badlands National Park,868094
2014,Big Bend National Park,314102
2014,Biscayne National Park,525745
2014,Black Canyon of the Gunnison National Park,183045
2014,Bryce Canyon National Park,1435741
2014,Canyonlands National Park,542431
2014,Capitol Reef National Park,786514
2014,Carlsbad Caverns National Park,397309
2014,Channel Islands National Park,342161
2014,Congaree National Park,120122
2014,Crater Lake National Park,535508
2014,Cuyahoga Valley National Park,2189849
2014,Death Valley National Park,1101312
2014,Denali National Park & Preserve,531315
2014,Dry Tortugas National Park,64865
2014,Everglades National Park,1110901
2014,Gates of the Arctic National Park & Preserve,12669
2014,Gateway Arch National Park,1817091
2014,Glacier Bay National Park & Preserve,500727
2014,Glacier National Park,2338528
2014,Grand Canyon National Park,4756771
